,game_id,event,player_name
207,16c31090-91dc-4465-a510-75ae7dc9d6ee,FIDE WCh KO,"Anastasian,A"
208,9bfc0171-84ef-4a89-afff-0483cd09cf3a,FIDE-Wch k.o.,"Svidler, Peter"
209,ac2c0a83-29fe-4d0f-a3e7-044b7ff42e19,FIDE-Wch k.o.,"Beliavsky, Alexander G"
210,42ddbaaa-d07e-4cb9-bc7d-ae411cfdc149,PCA-World Championship,"Kasparov, Gary"
211,5971be75-c570-4b94-931d-ca4a0631c306,World Championship 29th,"Karpov, Anatoly"
212,600bf35b-8d76-4b20-a47a-13eb511b8b78,WCh,"Topalov,V"
213,9e1eff89-9845-489f-9673-346438394ffb,WCh-FIDE,"Polgar,Ju"
214,4ed2f807-c659-497a-9be1-eb78263a9420,FIDE WCh KO,"Van Wely,L"
215,8ccb3671-6648-4abb-b559-13fd294070b4,FIDE WCh KO,"Kasimdzhanov,R"
216,85c3014a-ce6c-45b5-9f12-c87efa702871,FIDE WCh KO,Wang Yu
217,55ef6db4-78c3-4010-bd51-951f39167c45,FIDE WCh KO,"Nisipeanu,LD"
218,300f4ebb-7341-402c-b1ea-ef706ea41b52,FIDE WCh KO,Peng Xiaomin
219,e9e5deea-e902-4df7-9045-27d73e1647de,FIDE-Wch k.o.,"Reinderman, Dimitri"
220,02797e38-3fa8-46f6-8b36-36361ac7fe58,FIDE-Wch k.o. g/25+10,"Zelcic, Robert"
221,2a068249-43a0-4f97-812c-ad21ac4cf1de,FIDE-Wch k.o.,"Nijboer, Friso"
222,15dd3d53-a900-4469-9c86-b272b7471e90,World Championship 17th,"Euwe, Max"
223,70c341e1-32d5-42fd-9941-7b70d84d7769,World Championship 6th,"Steinitz, William"
224,ad380a8c-54bd-4c1e-a9c5-c0ac63d94b6b,FIDE WCh KO,"Anastasian,A"
225,d5f9b88b-7341-4505-874c-74b4d707ad6d,FIDE WCh KO,"Lastin,A"
226,5fc4e1c4-236a-40b0-83ed-c54d1935f0ae,FIDE-Wch k.o.,"Andersson, Ulf"
227,af86137c-9a27-490e-9653-6989960f25f7,FIDE-Wch k.o.,"Nijboer, Friso"
228,271f8de9-3f0a-4256-a7c4-b7856a83c9be,World Championship 17th,"Euwe, Max"
229,ae05a6ec-0015-4bf8-bbe6-47300474b384,World Championship 16th,"Euwe, Max"
